Bifidobacterium vaginale group,Lactobacillus crispatus group,Lactobacillus gasseri group,Lactobacillus iners group,Lactobacillus jensenii group,"Bifidobacterium breve group,Prevotella bivia group,Prevotella timonensis group","Megasphaera,Prevotella bivia group,Prevotella timonensis group,Sneathia",Clostridium,"Streptococcus,Veillonella",sample_id
2.133830253435417e-6,0.9975595174066936,2.133830266409869e-6,5.70333276498448e-4,2.133830324879864e-6,2.1338303486379994e-6,0.0018573463333936187,2.1338302967979817e-6,2.1338319242473505e-6,s1
9.459862880058569e-6,0.5241705086428383,9.459863003721893e-6,9.459862865908543e-6,9.459863361987964e-6,0.17427300791792502,9.459880302923166e-6,9.459865215780522e-6,0.3014997242416063,s10
7.386392027634834e-4,0.9198802059662001,2.9866445166428595e-6,0.0010225773384767375,0.008359747414330484,0.0235423055879282,0.003525903416479686,0.04077237142438681,0.0021552630049178913,s100
5.862731648319424e-4,0.473095402561789,1.1909558207210494e-6,0.4935872798373473,1.1909556247862635e-6,0.02504280813951027,4.18782703871099e-4,1.190956176696872e-6,0.007265880725028229,s1007
0.8028566627421813,7.248351200231218e-4,1.2472316416875936e-6,2.2648076041853138e-4,1.2472316808440705e-6,0.1722037680457437,2.1862122845812287e-4,1.2472317376811849e-6,0.023765890408115126,s1009
0.001183232797463119,0.7754771644139474,2.9145578316085365e-6,0.1891649288208125,0.02864102543505074,2.914564738893708e-6,2.9145615488341926e-6,2.9145554837988397e-6,0.005521990293123077,s101
2.2736709888359073e-6,0.993128855525264,2.273671105591307e-6,7.769826820571105e-4,0.006080519762470579,2.2736734155187265e-6,2.273672453567393e-6,2.2736710060341596e-6,2.2736712388338717e-6,s1015
2.0949044481644494e-6,3.866100095426783e-4,2.0948999387814015e-6,0.8930176662491304,0.10626143802427518,2.0949047581263453e-6,2.3365729107737996e-4,2.0949000525832176e-6,9.224881677667315e-5,s102
0.1878128937646239,0.8096723404650791,1.9985324076411234e-6,0.0011071179676316971,1.998532261210596e-6,0.0013976551338503052,1.9985379056192757e-6,1.9985321307831314e-6,1.998534109771267e-6,s1021
4.013896049196962e-6,0.998067538244823,4.013896710736434e-6,0.0013234310115617638,4.0138960391010954e-6,5.849473532493941e-4,4.01390443419155e-6,4.0138959466048655e-6,4.013901185940376e-6,s1025
1.7452436057787076e-6,9.3921215198532e-4,1.7452436032607059e-6,0.9338744442722151,0.06517587211188551,1.7452447571907828e-6,1.7452445044920655e-6,1.7452436200479339e-6,1.7452438232394997e-6,s1027
0.8353397493606773,3.6342074799858726e-4,0.1642820504303838,2.4632425615298594e-6,2.4632425720787146e-6,2.463244432816621e-6,2.46324574525432e-6,2.463242569466519e-6,2.4632430591470797e-6,s103
2.1852303297719745e-6,0.9612553402290889,2.1852279191465477e-6,2.185227220169319e-6,2.185227292625557e-6,8.557002426459174e-4,1.318255772524137e-4,5.627237525277527e-4,0.03718566928572342,s1033
0.2593180649351159,0.0016255645200268696,7.975611585446263e-6,7.97561153494954e-6,7.975611823886165e-6,0.07938271271343929,0.6596337797607525,7.975612912245458e-6,7.975622808961017e-6,s1034
0.463614631116945,0.001006526570954703,1.9148993954508677e-6,4.379539596112857e-4,1.914899394520432e-6,1.9149031649746856e-6,0.5349313138505424,1.9148994935795673e-6,1.9149004981916137e-6,s1039
2.9123040138538318e-6,0.8504159760406635,2.912304301549042e-6,0.10385430535272398,0.012364029112113923,0.010034629046351242,0.006325833436385206,2.912305856590153e-6,0.016996490097590092,s104
1.8609691703196338e-6,4.909288552845347e-4,1.8609692854114438e-6,0.9850520231818807,1.8609693226202786e-6,0.009863728137910763,1.8609712338011187e-6,1.8609698031314194e-6,0.0045840149761087225,s1047
1.9951827604857104e-6,0.9679544084215687,1.995182853853621e-6,3.2705948777353693e-4,1.9951828697372553e-6,1.995185446787834e-6,1.995182757860187e-6,0.025764571936690486,0.005943984237278663,s106
2.1320202596780588e-6,0.991694738109231,3.5590113746339174e-4,0.0030678779658342295,0.004553033514330996,2.13202348148317e-6,3.1992118740901824e-4,2.1320203472051792e-6,2.132021642909572e-6,s107
2.3076910642531597e-6,2.3076910644066645e-6,2.30769106406455e-6,0.9820250033933716,2.3076910642820253e-6,2.3076912109571854e-6,2.3076911901411046e-6,0.017958842768903593,2.307691066616386e-6,s1074
1.2496085695852473e-5,1.2496085656329784e-5,0.8408909900680881,1.2496085546090973e-5,1.2496086220756516e-5,0.0037382114935802365,0.08673174602472132,1.2496092921256598e-5,0.06857657197757004,s1077
6.547392360236272e-4,0.7356850815014089,2.2719203327801253e-06,0.0015851429913591568,0.25656992677519397,2.271925038192669e-6,0.005389463999161528,2.2719203498079684e-6,1.0882973113206342e-4,s108
0.0029170581266319395,0.9870219983570923,1.808594576077363e-6,1.8085943716964279e-6,0.009437101187029019,1.808594348267655e-6,1.8085944539947354e-6,6.147993562779238e-4,1.8085952188792595e-6,s1084
7.646688482001488e-6,0.37141190647483185,7.64669058152747e-6,0.6113012219461318,0.009866349006357942,7.646714175348923e-6,0.00252059394905359,0.0017804521848351496,0.00309653634555086,s109
2.381384001335884e-6,0.9999809489271351,2.3813840662936483e-6,2.3813840226397166e-6,2.381384057295201e-6,2.381384164610023e-6,2.38138452730376e-6,2.3813840087290343e-6,2.3813840167138262e-6,s11
2.37947846999371e-4,0.0010742854270469938,3.166415173039222e-6,0.8608663459293981,0.12393140353151859,0.007271826654515184,3.1664212643655357e-6,0.0066086913518397655,3.166422244548712e-6,s110
1.5575756262074636e-6,0.782250849657325,1.5575753102142552e-6,6.041954739400147e-4,1.557575037737544e-6,0.06958181904575463,0.12749894423629876,1.5575755415107804e-6,0.02005796128516596,s1101
1.128303548058777e-6,0.7510829971883651,1.1283035762401765e-6,1.1283035299829344e-6,0.004642338008376763,0.1552479562866355,0.045265443057789984,1.1283038072341421e-6,0.04375675224437105,s1102
0.003809669113098248,0.807430591051057,0.005234379166490479,8.386903541296424e-4,0.005391634778301978,0.12138192290928133,0.013373793869219547,0.022045997670860164,0.02049332108756167,s1107
